label,layer_idx,head_idxs,perplexity,average_energy_per_token_mj,average_time_per_token_ms,allocated_memory
baseline,,,1.3984375,1461.7989014761415,6.375340346491218,16069098496
pruned-7-all,7,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",1.4453125,1449.475672895594,6.307926240107135,15985834496
pruned-7-every-other,7,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",1.40625,1481.5543631064631,6.582227972100289,16036166656
pruned-8-all,8,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",1.421875,1456.1511400651466,6.345873379327207,15985834496
pruned-8-every-other,8,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",1.421875,1446.9483957587443,6.332821735696207,16036162048
