label,layer_idx,head_idxs,perplexity,average_energy_per_token_mj,average_time_per_token_ms,allocated_memory
baseline,,,2.421875,3903.218623381143,17.07953178641685,16069085184
pruned-7-all,7,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",2.4375,3557.6939699304844,16.03867343808644,15985198592
pruned-7-every-other,7,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",2.40625,3831.903322954418,16.69862901237729,16035530752
pruned-8-all,8,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",2.4375,3812.5088163120745,16.492498675227218,15985197056
pruned-8-every-other,8,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",2.421875,3986.265210534987,17.292077148485625,16035529728
