label,layer_idx,head_idxs,perplexity,average_energy_per_token_mj,average_time_per_token_ms,allocated_memory
baseline,,,1.40625,898.23256,3.851920585632324,16069107712
pruned-7-all,7,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",1.46875,884.38304,3.8085913467407226,15985843712
pruned-7-every-other,7,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",1.4140625,889.90488,3.813390655517578,16036175872
pruned-8-all,8,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",1.4453125,889.4328,3.794673652648926,15985843712
pruned-8-every-other,8,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",1.4296875,894.92832,3.86816556930542,16036175872
