label,layer_idx,head_idxs,perplexity,average_energy_per_token_mj,average_time_per_token_ms,allocated_memory
baseline,,,2.265625,1010.1825318940138,4.654360472629536,16069082624
pruned-7-all,7,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",2.265625,1857.6527043513624,8.332943906625047,15985197568
pruned-7-every-other,7,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",2.265625,2203.4991317290996,9.816757356875057,16035529728
pruned-8-all,8,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",2.28125,2288.0266594124046,10.207742203998531,15985195520
pruned-8-every-other,8,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",2.28125,2506.3204215713113,11.260744842019696,16035529728
